code,name
315,"Инспекторы по строительству и безопасности (пожарной, транспортных средств, производственных процессов и продукции)"
3151,Строительные и пожарные инспекторы
3152,"Инспекторы по безопасности, здравоохранению и качеству (транспортных средств, производственных процессов и продукции)"
32,Специалисты среднего уровня квалификации и вспомогательный персонал естественных наук и здравоохранения
321,Специалисты среднего уровня квалификации в области естественных наук
3211,Специалисты естественных наук
3212,Специалисты по агрономии и лесному хозяйству
3213,Консультанты по сельскому и лесному хозяйству
322,Средний медицинский персонал (исключая медицинский уход)
3221,Фельдшеры
3222,Гигиенисты и специалисты по санитарии
3223,Диетологи и специалисты по рациональному питанию
3224,Оптики и оптометристы
3225,Фельдшеры- и техники-стоматологи
3226,Физиотерапевты
3227,Фельдшеры- и техники-ветеринары
3228,Фармацевты
3229,"Средний медицинский персонал (исключая медицинский уход), не вошедший в другие группы"
323,Медицинский персонал по уходу и акушерству
3231,Медицинский персонал по уходу
3232,Акушеры
3241,Практики нетрадиционной медицины
33,Специалисты среднего уровня квалификации в сфере образования
331,Преподавательский персонал начального образования
3310,Преподавательский персонал начального образования
332,Персонал дошкольного воспитания и обучения
3320,Персонал дошкольного воспитания и обучения
333,Преподавательский персонал специального обучения
3330,Преподавательский персонал специального обучения
334,Преподавательский персонал по обучению управлению средствами передвижения
3340,Преподавательский персонал по обучению управлению средствами передвижения
34,"Средний персонал в области финансово-экономической, административной и социальной деятельности"
341,Средний персонал в области финансовой и торговой деятельности
3411,Дилеры и брокеры
3412,Страховые агенты
3413,Агенты по продаже имущества
3414,Организаторы путешествий
3415,Агенты по продаже
3416,Агенты по закупкам
3417,Оценщики
3418,Аукционисты
3419,"Прочий персонал в области финансовой и торговой деятельности, не вошедший в другие группы"
342,Средний персонал торгово-коммерческой деятельности и услуг
3421,Торговые брокеры
3422,Торгово-коммерческие агенты и экспедиторы
3423,Специалисты кадровых служб и учреждений занятости
3429,"Прочий торгово-коммерческий персонал, не вошедший в другие группы"
343,Средний административно-управленческий персонал
3431,Административно-управленческий персонал
3432,Средний юридический персонал
3433,Бухгалтеры
3434,Средний информационно-статистический персонал
3439,"Прочий средний административно - управленческий персонал, не вошедший в другие группы"
344,Средний персонал государственных служб
3441,Таможенные и пограничные инспекторы
3442,Государственные налоговые служащие
3443,Государственные служащие по социальному и пенсионному обеспечению
3444,Государственные служащие по лицензиям
3449,"Прочий средний персонал государственных служб, не вошедший в другие группы"
345,"Средний персонал правоохранительных органов, органов защиты общественного порядка и детективы"
3450,"Работники милиции и других правоохранительных органов, детективы"
346,Социальные работники
3460,Социальные работники
347,"Персонал сферы искусства, развлечений и спорта"
3471,Дизайнеры
3472,Дикторы радио- и телевидения
3473,"Музыканты, певцы и танцоры"
3474,Артисты цирка
3475,Спортсмены
348,Персонал культовых учреждений
